現地コード,銘柄名(English),銘柄名,市場,業種,取扱
REI,RING ENERGY INC,リング・エナジー,NYSE,石油,○
REKR,REKOR SYSTEMS,リコール・システムズ,NASDAQ,ソフトウェア・サービス,○
RELL,RICHARDSON ELCTR,リチャードソン・エレクトロニクス,NASDAQ,その他製造,○
RELX,RELX PLC,レレックス,NYSE,ソフトウェア・サービス,○
RELY,REMITLY GLOBAL,レミトリー・グローバル,NASDAQ,金融コングロマリット,○
REMX,V R EARTH SM ETF,ヴァンエック・レアアース・アンド・戦略的金属ETF,NYSE,その他,○
RENB,RENOVARO INC,レノバロ・インク,NASDAQ,医薬品（バイオテクノロジー）,○
RENT,RENT THE RUNWAY,レント・ザ・ランウェイ,NASDAQ,ソフトウェア・サービス,○
REPL,REPLIMUNE GROUP,レプリミューン,NASDAQ,医薬品（バイオテクノロジー）,○
REPX,RILEY EXPLRTION,ライリー・エクスプロレーション・パーミアン,NYSE,石油,○
RERE,ATRENEW INC,ATリニュー,NYSE,その他,○
RES,RPC INC,RPC,NYSE,石油,○
RETO,RETO ECOSOLUTION,レト・エコソリューションズ,NASDAQ,その他製造,○
REVG,REV GROUP INC,REVグループ,NYSE,自動車,○
REX,REX AMCAN RES CO,REXアメリカン・リソーシズ,NYSE,その他,○
REYN,REYNOLDS CONSUMR,レイノルズ・コンシューマー・プロダクツ,NASDAQ,その他製造,○
REZI,RESIDEO TECH,レジデオ・テクノロジーズ,NYSE,その他製造,○
RF,REGIONS F,リージョンズ・ファイナンシャル,NYSE,金融（銀行）,○
RFIL,RF INDUSTRIES,RFインダストリーズ,NASDAQ,その他製造,○
RFL,RAFAEL HOLDINGS,ラファエル・ホールディングス,NYSE,その他,○
RGA,REINSURNCE GROUP,リインシュアランス・グループ・オブ・アメリカ,NYSE,金融(保険),○
RGC,REGENCELL BIOSCN,リジェンセル・バイオサイエンス・ホールディングス,NASDAQ,医薬品（バイオテクノロジー）,○
RGCO,RGC RESOURCES,RGCリソーシズ,NASDAQ,ガス・パイプライン,○
RGEN,REPLIGEN CORP,レプリジェン,NASDAQ,ヘルスケア,○
RGLD,ROYAL GOLD INC,ロイヤル・ゴールド,NASDAQ,その他,○
RGLS,REGULUS THERAPE,レグルス・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
RGNX,REGENXBIO INC,リジェネックスバイオ,NASDAQ,医薬品（バイオテクノロジー）,○
RGP,RESOURCES CONNCT,リソーシズ・コネクション,NASDAQ,ソフトウェア・サービス,○
RGR,STURM RUGER & CO,スターム・ルーガー,NYSE,その他製造,○
RGS,REGIS CORP,リージス,NASDAQ,専門店,○
RGTI,RIGETTI COMPUTIN,リゲッティ・コンピューティング,NASDAQ,その他,○
RH,RH,RH,NYSE,小売,○
RHI,ROBERT HALF INC,ロバート・ハーフ,NYSE,その他,○
RICK,RCI HOSPITALITY,RCIホスピタリティ・ホールディングス,NASDAQ,エンターテイメント,○
RIG,TRANSOCEAN LTD,トランスオーシャン,NYSE,石油,○
RIGL,RIGEL PHARMA,リジェル・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
RILY,B RILEY FNANCIAL,B・ライリー・ファイナンシャル,NASDAQ,金融（銀行）,○
RIME,ALGORHYTHM HD,アルゴリズム・ホールディングス,NASDAQ,エンターテイメント,○
RIO,RIO TINTO (ADR),リオ・ティント,NYSE,アルミ,○
RIOT,RIOT PLATFORMS,ライオット・プラットフォームズ,NASDAQ,その他,○
RIVN,RIVIAN ATMOTIVE,リヴィアン・オートモーティブ,NASDAQ,自動車,○
RJF,RAYMOND JAMES FI,レイモンド・ジェームズ・ファイナンシャル,NYSE,金融コングロマリット,○
RKLB,ROCKET LAB USA,ロケット・ラボUSA,NASDAQ,その他,○
RKT,ROCKET COMPANIES,ロケット・カンパニーズ,NYSE,ソフトウェア・サービス,○
RL,RALPH LAUREN,ラルフローレン,NYSE,その他,○
RLAY,RELAY THERAPEUT,リレー・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
RLGT,RADIANT LOGISTIC,ラジアント・ロジスティクス,NYSE,運輸,○
RLI,RLI CORP,RLI,NYSE,金融(保険),○
RLMD,RELMADA THERAP,レルマダ・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
RLX,RLX TECHNOLOGY,RLXテクノロジー,NYSE,食品・タバコ,○
RLY,SPDR MA REAL RTN,SPDR SSgA マルチ・アセット・リアル・リターン ETF,NYSE,その他,○
RLYB,RALLYBIO CORP,ラリーバイオ,NASDAQ,医薬品（バイオテクノロジー）,○
RM,REGIONAL MANAGE,リージョナル・マネジメント,NYSE,金融（銀行）,○
RMAX,RE/MAX HOLDINGS,RE/MAXホールディングス,NYSE,ソフトウェア・サービス,○
RMBI,RICHMOND MUTL BC,リッチモンド・ミューチュアル・バンコーポレーション,NASDAQ,金融（銀行）,○
RMBL,RUMBLEON INC,ランブルオン,NASDAQ,ソフトウェア・サービス,○
RMBS,RAMBUS INC.,ラムバス,NASDAQ,半導体,○
RMCF,RCKY MTAIN CHOCO,ロッキー・マウンテン・チョコレート・ファクトリー,NASDAQ,食品,○
RMD,RESMED INC,レスメド,NYSE,ヘルスケア,○
RMNI,RIMINI STREET,リミニ・ストリート,NASDAQ,ソフトウェア・サービス,○
RMR,THE RMR GROUP,RMRグループ,NASDAQ,ソフトウェア・サービス,○
RMTI,ROCKWELL MEDICAL,ロックウェル・メディカル,NASDAQ,医薬品（バイオテクノロジー）,○
RNA,AVIDITY BSCIENCE,アヴィディティ・バイオサイエンシズ,NASDAQ,医薬品（バイオテクノロジー）,○
RNAC,CARTESIAN THERAP,カーティージャン・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
RNAZ,TRANSCODE THERA,トランスコード・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
RNG,RINGCENTRAL INC,リングセントラル,NYSE,ソフトウェア・サービス,○
RNGR,RANGER ENRG SERV,レンジャー・エナジー・サービシズ,NYSE,石油,○
RNR,RENAISSANCERE,ルネサンスリー・ホールディングス,NYSE,金融(保険),○
RNRG,GBLX RENEW ENRGY,グローバルX 再生可能エネルギー ETF,NASDAQ,その他,○
RNST,RENASANT CORP,レナサント,NYSE,金融（銀行）,○
RNTX,REIN THERAPEUTIC,レイン・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
RNW,RENEW ENERGY GLB,リニュー・エナジー・グローバル,NASDAQ,電力,○
RNXT,RENOVORX INC,リノボRx,NASDAQ,医薬品（バイオテクノロジー）,○
ROAD,CONSTRUCTION PTR,コンストラクション・パートナーズ,NASDAQ,その他,○
ROBO,RG ROBO AUTO ETF,ROBO Global ロボティクス・アンド・オートメーション・インデックスETF,NYSE,その他,○
ROBT,FT NQ AIROBO ETF,ファーストトラスト ナスダック AI & ロボティックスETF,NASDAQ,その他,○
ROCK,GIBRALTAR INDUST,ジブラルタル・インダストリーズ,NASDAQ,その他製造,○
ROG,ROGERS CORP,ロジャーズ,NYSE,化学,○
ROIV,ROIVANT SCIENCES,ロイバント・サイエンシズ,NASDAQ,医薬品（バイオテクノロジー）,○
ROK,ROCKWELL AUTO,ロックウェル　オートメーション,NYSE,その他製造,○
ROKU,ROKU,ロク,NASDAQ,エンターテイメント,○
ROL,ROLLINS INC,ローリンズ,NYSE,その他,○
ROOT,ROOT INC OH,ルート,NASDAQ,ソフトウェア・サービス,○
ROP,ROPER TECH,ローパー・テクノロジーズ,NASDAQ,その他製造,○
ROST,ROSS STORES INC,ロス・ストアーズ,NASDAQ,小売,○
RPAY,REPAY HOLDINGS,リペイ・ホールディングス,NASDAQ,金融(カード),○
RPD,RAPID7 INC,ラピッド7,NASDAQ,ソフトウェア・サービス,○
RPID,RAPID MICRO BIO,ラピッド・マイクロ・バイオシステムズ,NASDAQ,医薬品（バイオテクノロジー）,○
RPM,RPM INTERNATIONA,RPMインターナショナル,NYSE,化学,○
RPRX,ROYALTY PHARMA,ロイヤルティ･ファーマ,NASDAQ,その他,○
RPTX,REPARE THERAPEUT,リペア・セラピューティクス,NASDAQ,医薬品,○
RRBI,RED RIVER BANC,レッド・リバー・バンクシェアーズ,NASDAQ,金融（銀行）,○
RRC,RANGE RESOURCES,レンジ・リソーシーズ,NYSE,石油,○
RRGB,RED ROBIN GOURME,レッド・ロビン・グルメ・バーガーズ,NASDAQ,外食,○
RRR,RED ROCK RESORTS,レッド・ロック・リゾーツ,NASDAQ,エンターテイメント,○
RRX,REGAL REXNORD,リーガル・レクスノード,NYSE,その他製造,○
RS,RELIANCE INC,リライアンス・インク,NYSE,その他,○
RSG,REPUBLIC SERVICE,リパブリック・サービシズ,NYSE,その他製造,○
RSI,RUSH STREET,ラッシュ・ストリート・インタラクティブ,NYSE,エンターテイメント,○
RSKD,RISKIFIED LTD,リスキファイド,NYSE,ソフトウェア・サービス,○
RSLS,RESHAPE LIFE,リシェイプ・ライフサイエンシズ,NASDAQ,ヘルスケア,○
RSP,INV SP500 EW ETF,インベスコ S&P 500 等ウェイト ETF,NYSE,その他,○
RSVR,RESERVOIR MEDIA,レザボア・メディア,NASDAQ,エンターテイメント,○
RTC,BAIJIAYUN GROUP,バイジャユン・グループ,NASDAQ,その他製造,○
RTH,V RETAIL,ヴァンエック・小売ETF,NASDAQ,その他,○
RTO,RENTOKIL INITIAL,レントキル・イニシャルPLC,NYSE,その他,○
RTX,RTX CORPORATION,RTXコーポレーション,NYSE,コングロマリット,○
RUM,RUMBLE INC,ランブル,NASDAQ,その他,○
RUN,SUNRUN INC,サンラン,NASDAQ,電力,○
RUSHA,RUSH ENTERPRISES,ラッシュ・エンタープライジズ,NASDAQ,小売,○
RUSHB,RUSH ENTERPRISES,ラッシュ・エンタープライジズ,NASDAQ,小売,○
RVLV,REVOLVE GROUP,リボルブ・グループ,NYSE,小売,○
RVMD,REVOLUTION MED,レボリューション・メディスンズ,NASDAQ,医薬品（バイオテクノロジー）,○
RVP,RETRACTABLE TECH,リトラクタブル・テクノロジーズ,NYSE,医療サービス,○
RVPH,REVIVA PHARMA HD,レビバ・ファーマシューティカルズ・ホールディングス,NASDAQ,医薬品,○
RVSB,RIVERVIEW BANC,リバービュー・バンコープ,NASDAQ,金融（銀行）,○
RVSN,RAIL VISION LTD,レイル・ビジョン,NASDAQ,運輸,○
RVTY,REVVITY INC.,リビティ,NYSE,その他製造,○
RVYL,RYVYL,リビル,NASDAQ,ソフトウェア・サービス,○
RWR,SPDR DJ REIT,SPDR ダウ・ジョーンズ REIT ETF,NYSE,その他,○
RWX,SPDR DJ REAL,SPDR ダウ・ジョーンズ・インターナショナル・リアル・エステート ETF,NYSE,その他,○
RXI,ISHARES CONS DIS,iシェアーズ グローバル一般消費財 ETF,NYSE,その他,○
RXO,RXO,RXO,NYSE,運輸,○
RXRX,RECURSION PHARMA,リカージョン・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
RXST,RXSIGHT INC,Rxサイト,NASDAQ,ヘルスケア,○
RXT,RACKSPACE TECHNO,ラックスペース・テクノロジー,NASDAQ,ソフトウェア・サービス,○
RY,ROYAL BK OF CAN,RBC,NYSE,金融（銀行）,○
RYAAY,RYANAIR HLD,ライアンエアー・ホールディングス,NASDAQ,航空,○
RYAM,RAYONIER ADV MAT,レイヨニア・アドバンスト・マテリアルズ,NYSE,化学,○
RYAN,RYAN SPECIALTY,ライアン・スペシャリティ・ホールディングス,NYSE,金融(保険),○
RYI,RYERSON HOLDING,ライアーソン・ホールディング,NYSE,その他,○
RYLD,GLBLX RL 2000 CC,グローバルX Russell 2000・カバード・コール ETF,NYSE,その他,○
RYTM,RHYTHM PHARMACEU,リズム・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
RZLT,REZOLUTE INC,リゾルート,NASDAQ,医薬品（バイオテクノロジー）,○
S,SENTINELONE INC,センチネルワン,NYSE,ネットワークセキュリティー,○
SA,SEABRIDGE GOLD,シーブリッジ・ゴールド,NYSE,その他,○
SABR,SABRE CORP,セイバー,NASDAQ,ソフトウェア・サービス,○
SABS,SAB BIOTHERAPE,SABバイオセラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
SAFT,SAFETY INSURANCE,セーフティー・インシュアランス・グループ,NASDAQ,金融(保険),○
SAGE,SAGE THERAPEUT,セージ・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
SAH,SONIC AUTOMOTIVE,ソニック・オートモーティブ,NYSE,小売,○
SAIA,SAIA INC,サイア,NASDAQ,運輸,○
SAIC,SCIENCE APP INTL,サイエンス・アプリケーションズ・インターナショナル,NASDAQ,ソフトウェア・サービス,○
SAM,THE BOSTON BEER,ボストン・ビア,NYSE,飲料,○
SAMG,SILVERCREST AM G,シルバークレスト・アセットマネジメント・グループ,NASDAQ,その他,○
SANA,SANA BIOTECHNO,サナ・バイオテクノロジー,NASDAQ,医薬品（バイオテクノロジー）,○
SAND,SANDSTORM GOLD,サンドストーム・ゴールド,NYSE,その他,○
SANM,SANMINA CORP,サンミナ,NASDAQ,その他製造,○
SANW,S&W SEED CO,S&Wシード,NASDAQ,食品,○
SAP,SAP SE(ADR),エスエイピー,NYSE,ソフトウェア・サービス,○
SASR,SANDY SPRING BNC,サンディ・スプリング・バンコープ,NASDAQ,金融（銀行）,○
SATL,SATELLOGIC INC,サテロジック,NASDAQ,通信サービス,○
SATS,ECHOSTAR CORP,エコスター,NASDAQ,通信機器,○
SAVA,CASSAVA SCIENCES,キャッサバ・サイエンシズ,NASDAQ,医薬品,○
SB,SAFE BULKERS INC,セーフ・バルカース,NYSE,運輸,○
SBC,SBC MEDICAL GRP,SBCメディカルグループホールディングス,NASDAQ,医薬品（バイオテクノロジー）,○
SBCF,SEACOAST BANKING,シーコースト・バンキング・コーポレーション・オブ・フロリダ,NASDAQ,金融（銀行）,○
SBET,SHARPLINK GAMING,シャープリンク・ゲーミング,NASDAQ,ソフトウェア・サービス,○
SBFG,SB FINANCIAL GR,SBファイナンシャル・グループ,NASDAQ,金融（銀行）,○
SBFM,SUNSHINE BIOPH,サンシャイン・バイオファーマ,NASDAQ,医薬品,○
SBGI,SINCLAIR INC,シンクレア,NASDAQ,その他,○
SBH,SALLY BEAUTY HOL,サリービューティ・ホールディングス,NYSE,専門店,○
SBLK,STAR BULK CRRIER,スター・バルク・キャリアーズ,NASDAQ,運輸,○
SBS,CIA SANEAMENTO B,サンパウロ州基礎衛生公社,NYSE,その他,○
SBSI,SOUTHSIDE BANC,サウスサイド・バンクシェアーズ,NYSE,金融（銀行）,○
SBSW,SIBANYESTILL ADR,シバンエ・スティルウォーター,NYSE,その他,○
SBT,STERLING BANCORP,スターリング・バンコープ,NASDAQ,金融（銀行）,○
SBUX,STARBUCKS COFFEE,スターバックス,NASDAQ,外食,○
SCCO,SOUTHERN COPPER,サザン・コッパー,NYSE,その他,○
SCHL,SCHOLASTIC CORP,スコラスティック,NASDAQ,その他,○
SCHW,CHARLES SCHWAB,チャールズ・シュワブ,NYSE,金融（証券）,○
SCI,SERVICE CORP INT,サービス・コーポレーション・インターナショナル,NYSE,その他,○
SCKT,SOCKET MOBILE,ソケット･モバイル,NASDAQ,コンピュータ,○
SCL,STEPAN COMPANY,ステパン,NYSE,化学,○
SCNX,SCIENTURE HOLDIN,サイエンチャー・ホールディングス,NASDAQ,コンピュータ,○
SCOR,COMSCORE INC,コムスコア,NASDAQ,ソフトウェア・サービス,○
SCPH,SCPHARMACEUTICAL,scファーマスーティカルズ,NASDAQ,医薬品,○
SCS,STEELCASE INC,スチールケース,NYSE,その他製造,○
SCSC,SCANSOURCE INC,スキャンソース,NASDAQ,コンピュータ,○
SCVL,SHOE CARNIVAL,シュー・カーニバル,NASDAQ,小売,○
SCWO,374WATER INC,374ウォーター,NASDAQ,その他製造,○
SCYX,SCYNEXIS INC,サイネクシス,NASDAQ,医薬品（バイオテクノロジー）,○
SD,SANDRIDGE ENERGY,サンドリッジ・エナジー,NYSE,ガス・パイプライン,○
SDA,SUNCAR TECHNOLOG,サンカー・テクノロジー・グループ,NASDAQ,情報処理サービス,○
SDGR,SCHRODINGER INC,シュレーディンガー,NASDAQ,ソフトウェア・サービス,○
SDIG,STRONGHD D MININ,ストロングホールド・デジタル・マイニング,NASDAQ,ソフトウェア・サービス,○
SDIV,GLX SUPERDVD ETF,グローバルX スーパーディビィデンド-世界株式 ETF,NYSE,その他,○
SDOT,SADOT GROUP INC,サドット・グループ,NASDAQ,外食,○
SDOW,PROS DOW30 -3X,プロシェアーズ・ウルトラプロ・ショート・ダウ30,NYSE,その他,○
SDRL,SEADRILL LTD,シードリル,NYSE,石油,○
SDVY,FT SMID CAP ETF,ファーストトラスト 中小型増配アチーバーズETF,NASDAQ,その他,○
SDY,SPDR SP DIVIDEND,SPDR S&P 米国高配当株式 ETF,NYSE,その他,○
SE,SEA LIMITED,シー,NYSE,ソフトウェア・サービス,○
SEAT,VIVID SEATS INC,ヴィヴィッド・シーツ,NASDAQ,ソフトウェア・サービス,○
SEB,SEABOARD CORP,シーボード,NYSE,食品,○
SEDG,SOLAREDGE TECH,ソーラーエッジ・テクノロジー,NASDAQ,電力,○
SEE,SEALED AIR CORP,シールドエアー,NYSE,その他製造,○
SEED,ORIGIN AGRITECH,オリジン・アグリテック,NASDAQ,化学,○
SEER,SEER INC,シーア,NASDAQ,医薬品（バイオテクノロジー）,○
SEG,SEAPORT ENTMT,シーポート・エンターテイメント,NYSE,エンターテイメント,○
SEI,SOLARIS ENERGY,ソラリス・エナジー・インフラストラクチャー,NYSE,石油,○
SEIC,SEI INVESTMENTS,SEIインベストメンツ,NASDAQ,情報処理サービス,○
SEM,SELECT MEDICAL,セレクト・メディカル・ホールディングス,NYSE,ヘルスケア,○
SEMR,SEMRUSH HOLDINGS,セムラッシュ・ホールディングス,NYSE,ソフトウェア・サービス,○
SENEA,SENECA FOODS CO,セネカ・フーズ,NASDAQ,食品,○
SERA,SERA PROGNOSTICS,セラ・プログノスティクス,NASDAQ,ヘルスケア,○
SES,SES AI CORP,SES AI,NYSE,周辺機器,○
SF,STIFEL FINANCIAL,スティーフル・フィナンシャル,NYSE,金融（証券）,○
SFBC,SOUND FINCL BANC,サウンド・ファイナンシャル・バンコープ,NASDAQ,金融（銀行）,○
SFBS,SERVISFIRST BANC,サービスファースト・バンクシェアーズ,NYSE,金融（銀行）,○
SFD,SMITHFIELD FOODS,スミスフィールド・フーズ,NASDAQ,食品,○
SFIX,STITCH FIX INC,スティッチ・フィックス,NASDAQ,小売,○
SFL,SFL CORPORATION,SFL コーポレーション,NYSE,運輸,○
SFM,SPROUTS FARM MKT,スプラウツ・ファーマーズ・マーケット,NASDAQ,小売,○
SFNC,SIMMONS 1ST NTNL,シモンズ・ファースト・ナショナル,NASDAQ,金融（銀行）,○
SFST,STHERN FRST BANC,サザン・ファースト・バンクシェアーズ,NASDAQ,金融（銀行）,○
SG,SWEETGREEN INC,スウィートグリーン,NYSE,外食,○
SGA,SAGA COMMUNICTNS,サガ・コミュニケーションズ,NASDAQ,エンターテイメント,○
SGBX,SG HOLDINGS,セーフ・アンド・グリーン・ホールディングス,NASDAQ,その他製造,○
SGC,SUPEROR GROUP CO,スーペリア・グループ・オブ・カンパニーズ,NASDAQ,その他製造,○
SGD,SAFE GREEN DEVEL,セーフ・アンド・グリーン・デベロップメント,NASDAQ,その他製造,○
SGHC,SGHC LTD,SGHC,NYSE,その他,○
SGHT,SIGHT SCIENCES,サイト・サイエンシズ,NASDAQ,ヘルスケア,○
SGLY,SINGULRTY F TECH,シンギュラリティ・フィーチャー・テクノロジー,NASDAQ,その他,○
SGMA,SIGMAT INTERNTNL,シグマトロン・インターナショナル,NASDAQ,その他製造,○
SGML,SIGMA LITHIUM,シグマ・リチウム・コーポレーション,NASDAQ,その他,○
SGMO,SANGAMO THERAPEU,サンガモ・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
SGRP,SPAR GROUP INC,SPARグループ,NASDAQ,ソフトウェア・サービス,○
SGRY,SURGERY PARTNERS,サージェリー・パートナーズ,NASDAQ,医療サービス,○
SGU,STAR GROUP LP,スター・グループ,NYSE,その他製造,○
SH,PROS SP500 -1X,プロシェアーズ・ショートS&P500,NYSE,その他,○
SHAK,SHAKE SHACK,シェイク・シャック,NYSE,外食,○
SHBI,SHORE BANCSHARES,ショアー・バンクシェアーズ,NASDAQ,金融（銀行）,○
SHC,SOTERA HEALTH CO,ソテラ・ヘルス,NASDAQ,ヘルスケア,○
SHCO,SOHO HOUSE CO,ソーホー・ハウス・アンド・コー,NYSE,ソフトウェア・サービス,○
SHE,SPDRMSCI GND DIV,SPDR MSCI USAジェンダー・ダイバーシティETF,NYSE,その他,○
SHEL,SHELL PLC,シェル,NYSE,石油,○
SHEN,SHENANDH TELECM,シェナンドー・テレコミュニケーションズ,NASDAQ,通信サービス,○
SHG,SHINHAN FINANCIA,シンハン・フィナンシャル・グループ,NYSE,金融（銀行）,○
SHIP,SEANERGY MARTIME,シナジー・マリタイム・ホールディングス,NASDAQ,運輸,○
SHLD,GLX DF TECH ETF,グローバルX 防衛テック ETF,NYSE,その他,○
SHLS,SHOALS TECHNO,ショールズ・テクノロジーズ,NASDAQ,電力,○
SHOO,STEVEN MADDEN,スティーブン・マッデン,NASDAQ,フットウエア,○
SHOP,SHOPIFY,ショッピファイ,NYSE,ネットワーク,○
SHOT,SAFETY SHOT,セーフティ・ショット,NASDAQ,医薬品,○
SHV,ISHARES SHORT TR,iシェアーズ 米国短期国債 ETF,NASDAQ,その他,○
SHW,SHERWIN WILLIAMS,シャーウィン・ウィリアムズ,NYSE,専門店,○
SHY,ISHARES 1-3YR TR,iシェアーズ 米国国債 1-3年 ETF,NASDAQ,その他,○
SHYF,THE SHYFT GROUP,シフト・グループ,NASDAQ,自動車,○
SIBN,SI-BONE INC,SIボーン,NASDAQ,ヘルスケア,○
SID,CIA SIDERURGICA,コンパニア・シデルルジカ・ナシオナル,NYSE,その他,○
SIDU,SIDUS SPACE INC,サイダス・スペース,NASDAQ,航空機・宇宙,○
SIEB,SIEBERT FIN CO,シーバート・ファイナンシャル,NASDAQ,金融（証券）,○
SIFY,SIFY TECH LTD,シフィ・テクノロジーズ,NASDAQ,ネットワーク,○
SIG,SIGNET JEWELERS,シグネット・ジュエラーズ,NYSE,小売,○
SIGA,SIGA TECHNLOGIES,シガテクノロジーズ,NASDAQ,医療サービス,○
SIGI,SELECTIVE INSURA,セレクティブ・インシュアランス・グループ,NASDAQ,金融(保険),○
SIL,GLX SIL MINE ETF,グローバルＸ 銀ビジネス ETF,NYSE,その他,○
SILC,SILICOM LTD,シリコム,NASDAQ,ネットワーク,○
SILV,SILVERCREST MTLS,シルバークレスト・メタルズ,NYSE,その他,○
SIM,GRUPO SIMEC SAB,グルポ・シメク,NYSE,その他製造,○
SIMO,SILICON MOTION,シリコン・モーション・テクノロジー,NASDAQ,半導体,○
SINT,SINTX TECHNO,シントクス・テクノロジーズ,NASDAQ,化学,○
SIRI,SIRIUS XM HLD,シリウスXMホールディングス,NASDAQ,その他,○
SITE,SITEONE LNDSCAPE,サイトワン・ランドスケープ・サプライ,NYSE,専門店,○
SITM,SITIME CORP,サイタイム,NASDAQ,半導体,○
SJ,SCIENJOY HOLDING,サイエンジョイ・ホールディング,NASDAQ,ソフトウェア・サービス,○
SJM,JM SMUCKER CO,JMスマッカー,NYSE,食品,○
SJNK,SPDR BBG ST HYLD,SPDR ブルームバーグ・短期ハイ・イールド債券ETF,NYSE,その他,○
SJW,SJW GROUP,SJW,NASDAQ,その他,○
SKE,SKEENA RESOURCES,スキーナ・リソーシズ,NYSE,専門店,○
SKIL,SKILLSOFT CORP,スキルソフト,NYSE,ソフトウェア・サービス,○
SKIN,BEAUTY HEALTH CO,ビューティー・ヘルス,NASDAQ,ヘルスケア,○
SKLZ,SKILLZ INC,スキルズ,NYSE,ソフトウェア・サービス,○
SKM,SK TELECOM CO,SKテレコム,NYSE,通信サービス,○
SKX,SKECHERS USA INC,スケッチャーズUSA,NYSE,専門店,○
SKY,CHAMPION HOMES,チャンピオン・ホームズ,NYSE,その他製造,○
SKYH,SKY HARBOUR GRP,スカイ・ハーバー・グループ,NYSE,航空,○
SKYT,SKYWATER TECHNO,スカイウォーター・テクノロジー,NASDAQ,半導体,○
SKYW,SKYWEST INC,スカイウエスト,NASDAQ,航空,○
SKYX,SKYX PLATFORMS,SKYXプラットフォームズ,NASDAQ,その他製造,○
SKYY,FT CLOUD COMPUT,ファーストトラスト クラウドコンピューティングETF,NASDAQ,その他,○
SLAB,SILICON LABO,シリコン・ラボラトリーズ,NASDAQ,半導体,○
SLB,SCHLUMBERGER,シュルンベルジェ,NYSE,石油,○
SLDB,SOLID BIOSCIENCE,ソリッド・バイオサイエンシズ,NASDAQ,医薬品（バイオテクノロジー）,○
SLDP,SOLID POWER INC,ソリッド・パワー,NASDAQ,自動車,○
SLE,SUPR LEAG ENTER,スーパー・リーグ・エンタープライズ,NASDAQ,エンターテイメント,○
SLF,SUN LIFE FINANCI,サン・ライフ・ファイナンシャル,NYSE,金融(保険),○
SLGL,SOLGEL TECHNO,ソル・ゲル・テクノロジーズ,NASDAQ,医薬品,○
SLGN,SILGAN HOLDINGS,シルガン・ホールディングズ,NYSE,その他製造,○
SLI,STANDARD LITHIUM,スタンダード・リチウム,NYSE,その他,○
SLM,SLM CORP,SLM,NASDAQ,金融コングロマリット,○
SLN,SILENCE THERAPE,サイレンス・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
SLND,SOUTHLAND HLDS,サウスランド・ホールディングス,NYSE,その他,○
SLNG,STABILIS SOLUT,スタビリス・ソリューションズ,NASDAQ,ガス・パイプライン,○
SLNH,SOLUNA HOLDINGS,ソルナ・ホールディングス,NASDAQ,その他製造,○
SLNO,SOLENO THERAPE,ソレノ・セラピューティクス,NASDAQ,医薬品,○
SLP,SIMULATIONS PLUS,シミュレーションズ・プラス,NASDAQ,ソフトウェア・サービス,○
SLQT,SELECTQUOTE INC,セレクトクォート,NYSE,金融(保険),○
SLRX,SALARIUS PHARMA,サラリウス・ファーマシューティカルズ,NASDAQ,医薬品,○
SLS,SELLAS LIFE SNCE,セラス・ライフ・サイエンシズ・グループ,NASDAQ,医薬品（バイオテクノロジー）,○
SLV,ISHARES SILVER,iシェアーズ シルバー・トラスト,NYSE,その他,○
SLVM,SYLVAMO CORP,シルバモ,NYSE,紙・パルプ,○
SLX,V STEEL,ヴァンエック・鉄鋼ETF,NYSE,その他,○
SM,SM ENERGY CMPNY,SMエナジー,NYSE,ガス・パイプライン,○
SMBC,STHERN MISSOURI,サザン・ミズーリ・バンコープ,NASDAQ,金融（銀行）,○
SMBK,SMARTFINCIAL INC,スマートファイナンシャル,NYSE,金融（銀行）,○
SMCI,SUPER MICRO COMP,スーパー・マイクロ・コンピューター,NASDAQ,コンピュータ,○
SMCL,GNS 2X LONG SMCI,GraniteShares2倍ロングSMCIデイリーETF,NASDAQ,その他,○
SMG,SCOTTS MIRACLE,スコッツ・ミラクルグロー,NYSE,その他製造,○
SMH,V SEMICONDUCTOR,ヴァンエック・半導体株ETF,NASDAQ,その他,○
SMHI,SEACOR MARINE,シーコア・マリン・ホールディングス,NYSE,運輸,○
SMID,SMITH MIDLAND,スミス・ミッドランド,NASDAQ,その他,○
SMLR,SEMLER SCIENTIFC,セムラー・サイエンティフィック,NASDAQ,医薬品（バイオテクノロジー）,○
SMMT,SUMMIT THERAPEUT,サミット・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
SMP,STD MOTOR PROD,スタンダード・モーター・プロダクツ,NYSE,自動車,○
SMPL,SIMPLY GOOD FOOD,シンプリー・グッド・フーズ,NASDAQ,食品,○
SMR,NUSCALE POWER,ニュースケール・パワー,NYSE,その他,○
