コード,銘柄名,主市場,貸借区分,1日,14日,無期限,売建可能数量,特別空売り料,T,現在値,前日比,当日株価変動率,日中出来高増減率,ティック数,出来高,直近高値騰落率,逆日歩,直近優待月
9504,中国電力,東証,貸借,○,×,○,"99,700",-,▼,680,-9,0.14%,-,909,"1,378,500",-4.09%,-,
2492,インフォマート,東証,貸借,○,×,○,"37,400",-,▲,427,-6,-1.15%,-,905,"950,400",-3.82%,-,
2175,エス・エム・エス,東証,貸借,○,×,○,"8,400",-,▲,"3,500.00",-35,-2.91%,-,904,"300,200",-3.58%,-,
2784,アルフレッサホールディングス,東証,貸借,○,×,○,"11,900",-,▼,"1,569.00",-28,-0.75%,-,904,"485,400",-4.09%,-,
3591,ワコールホールディングス,東証,貸借,○,×,×,0,-,▲,"2,357.00",-28,-0.54%,-,899,"239,300",-4.22%,-,3月29日
5233,太平洋セメント,東証,貸借,○,×,○,"9,500",-,▲,"2,181.00",-9,0.22%,-,897,"391,700",-2.76%,-,
7956,ピジヨン,東証,貸借,○,×,○,"32,500",-,▼,"2,016.00",-31,-1.07%,-,897,"384,500",-3.81%,-,
9119,飯野海運,東証,貸借,○,×,×,"9,100",-,▼,913,-2,-1.40%,-,894,"443,700",-6.26%,-,3月29日
8975,いちごオフィスリート投,東証,貸借,○,×,×,70,-,▲,"85,400.00",-100,-0.11%,-,893,"4,911",-0.46%,-,4月26日
1407,ウエストホールディングス,東証,貸借,○,×,×,0,-,▲,"3,740.00",-125,-3.97%,-,892,"297,600",-7.88%,-,
5201,ＡＧＣ,東証,貸借,○,×,○,"36,600",-,▼,"4,655.00",0,-0.21%,-,891,"766,600",-2.51%,-,
7337,ひろぎんＨＬＤＧＳ,東証,貸借,○,×,×,0,-,▲,667,8,1.21%,-,889,"695,400",-2.62%,-,3月29日
1329,ｉシェアーズ・コア２２５,東証,貸借,○,×,×,53,-,▼,"28,635.00",105,0.13%,-,887,"66,285",-0.36%,-,
6055,ジャパンマテリアル,東証,貸借,○,×,○,"6,200",-,▼,"2,362.00",-53,-0.71%,-,887,"204,600",-3.43%,0.05,9月27日
6996,ニチコン,東証,貸借,○,×,○,"15,400",-,▲,"1,269.00",-10,-0.70%,-,886,"421,300",-1.39%,-,
9553,マイクロアド,東証,貸借,○,×,×,0,-,▼,"1,474.00",-44,-3.84%,-,883,"211,600",-4.09%,-,
7599,ＩＤＯＭ,東証,貸借,○,×,○,"11,200",-,▲,835,2,1.82%,-,879,"470,500",-1.30%,-,
6028,テクノプロ・ホールディング,東証,貸借,○,×,○,"22,200",-,▲,"3,985.00",105,3.37%,-,872,"353,500",-3.74%,0.1,
7994,オカムラ,東証,貸借,○,×,○,"2,300",-,▲,"1,349.00",-44,-2.38%,-,872,"230,800",-5.86%,-,
4373,シンプレクスＨＤ,東証,貸借,○,×,○,"8,400",-,▼,"2,390.00",53,1.48%,-,870,"180,100",-2.84%,-,
7606,ユナイテッドアローズ,東証,貸借,○,×,×,"1,800",-,▼,"1,728.00",-32,-1.53%,-,870,"253,400",-2.64%,-,3月29日
